,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
78,79,-15.595245120323442,3.9787579453332e-08,0,1.4653973785527796e-06,314,1007.0,2555,330,330,"d_q_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",-0.013528813410958124
79,80,-15.595245144143323,2.3819881178610558e-08,0,1.441577497374169e-06,290,1020.0,2588,341,341,"d_q_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",-0.00398989049038951
80,81,-15.595245250950306,1.0680698281362311e-07,0,1.334770514560546e-06,382,1033.0,2621,352,352,"d_q_exc_[0, 5]_[1, 4]","[[0, 5], [1, 4]]",-0.9186287112210003
81,82,-15.595245411647744,1.606974375789605e-07,0,1.1740730769815855e-06,421,1046.0,2654,352,352,"d_q_exc_[1, 10]_[5, 12]","[[1, 10], [5, 12]]",0.014432248538056509
82,83,-15.595245452113891,4.0466147765982896e-08,0,1.1336069292156026e-06,437,1059.0,2687,363,363,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",0.017077947432076437
83,84,-15.595246046682199,5.945683074770614e-07,0,5.390386217385412e-07,370,1072.0,2720,374,374,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.002075091194429832
84,85,-15.59524606243699,1.5754791249378286e-08,0,5.232838304891629e-07,458,1085.0,2753,385,385,"d_q_exc_[0, 3]_[2, 11]","[[0, 3], [2, 11]]",-0.0110975156277583
85,86,-15.595246085558594,2.3121604186826517e-08,0,5.001622263023364e-07,476,1098.0,2786,385,385,"d_q_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.002479358134379745
86,87,-15.595246095312152,9.753557961289516e-09,0,4.904086683410469e-07,459,1111.0,2819,396,396,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.2839044592167194
87,88,-15.595246098997588,3.68543595641313e-09,0,4.867232323846338e-07,273,1124.0,2852,407,407,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0014769582867124947
88,89,-15.595246248763758,1.4976616924400332e-07,0,3.3695706314063045e-07,474,1137.0,2885,418,418,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.001388916676555287
89,90,-15.595246284806601,3.604284337654917e-08,0,3.009142197640813e-07,450,1150.0,2918,418,418,"d_q_exc_[1, 2]_[3, 10]","[[1, 2], [3, 10]]",-0.02177131694676013
90,91,-15.59524629770595,1.2899349144390726e-08,0,2.8801487061969056e-07,461,1163.0,2951,429,429,"d_q_exc_[0, 13]_[1, 4]","[[0, 13], [1, 4]]",0.04578923268623787
91,92,-15.595246312600185,1.4894235178530835e-08,0,2.731206354411597e-07,440,1176.0,2984,429,429,"d_q_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",-0.008112283384700972
92,93,-15.595246402222012,8.96218264045956e-08,0,1.8349880903656413e-07,561,1179.0,2991,429,429,s_q_exc_1_3,"[[1], [3]]",-0.010409002176123472
93,94,-15.595246404150437,1.9284254193507877e-09,0,1.8157038361721334e-07,449,1192.0,3024,429,429,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.00014520753868037793
