INFO 2021-03-17 18:43:06,151 q_exc type, prob_2=1e-05, time_cx=0, backend=<class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 18:43:06,152 Length of q_exc based ansatz is 3
INFO 2021-03-17 18:43:06,153 Noise model generated for prob_1 = 0, prob_2=1e-05, prob_meas=1e-05 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-17 18:43:06,153 Backend is <class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 18:43:06,155 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 3-----
-----Statevector and energy calculated using <class 'src.backends.QiskitSimBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 18:43:41,052 Iteration: 78. Energy -2.1317729324098726.  Energy change -1.403e-03 , Iteration duration: 0.4499847888946533 Params: [-0.20309576 -0.00126484 -0.05769075]
INFO 2021-03-17 18:43:41,503 Iteration: 79. Energy -2.1310026749884177.  Energy change 7.703e-04 , Iteration duration: 0.5776586532592773 Params: [-0.22604594  0.00162357 -0.07569192]
INFO 2021-03-17 18:43:41,908 Iteration: 80. Energy -2.129915751209549.  Energy change 1.087e-03 , Iteration duration: 0.4509129524230957 Params: [-0.16602601  0.01095537 -0.0834264 ]
INFO 2021-03-17 18:43:42,260 Iteration: 81. Energy -2.1289995291974604.  Energy change 9.162e-04 , Iteration duration: 0.4033632278442383 Params: [-0.19697861  0.01423585 -0.09766294]
INFO 2021-03-17 18:43:42,611 Iteration: 82. Energy -2.130823323943417.  Energy change -1.824e-03 , Iteration duration: 0.35126733779907227 Params: [-0.16632259 -0.00167637 -0.04467989]
INFO 2021-03-17 18:43:42,967 Iteration: 83. Energy -2.129011494934769.  Energy change 1.812e-03 , Iteration duration: 0.3519134521484375 Params: [-0.18940552 -0.01100448 -0.01914251]
INFO 2021-03-17 18:43:43,426 Iteration: 84. Energy -2.130925210416819.  Energy change -1.914e-03 , Iteration duration: 0.3553338050842285 Params: [-0.17089674  0.0063804  -0.07003392]
INFO 2021-03-17 18:43:43,778 Iteration: 85. Energy -2.1322538417283314.  Energy change -1.329e-03 , Iteration duration: 0.4598088264465332 Params: [-0.1964811  -0.00057475 -0.06345364]
INFO 2021-03-17 18:43:44,137 Iteration: 86. Energy -2.1324486616344154.  Energy change -1.948e-04 , Iteration duration: 0.35178089141845703 Params: [-0.20739848 -0.00172218 -0.06744394]
INFO 2021-03-17 18:43:44,656 Iteration: 87. Energy -2.130984254355869.  Energy change 1.464e-03 , Iteration duration: 0.36095261573791504 Params: [-0.2212714   0.00393863 -0.08543252]
INFO 2021-03-17 18:43:45,110 Iteration: 88. Energy -2.130404368441142.  Energy change 5.799e-04 , Iteration duration: 0.5186424255371094 Params: [-0.25028035 -0.005746   -0.07034422]
INFO 2021-03-17 18:43:45,608 Iteration: 89. Energy -2.1316710186706804.  Energy change -1.267e-03 , Iteration duration: 0.45392656326293945 Params: [-0.187435    0.00385407 -0.07009857]
INFO 2021-03-17 18:43:46,249 Iteration: 90. Energy -2.1313637617228607.  Energy change 3.073e-04 , Iteration duration: 0.49802422523498535 Params: [-0.17734809 -0.00336059 -0.04472298]
INFO 2021-03-17 18:43:46,725 Iteration: 91. Energy -2.1318803040516663.  Energy change -5.165e-04 , Iteration duration: 0.6414635181427002 Params: [-0.18649878 -0.00183992 -0.05320414]
INFO 2021-03-17 18:43:47,272 Iteration: 92. Energy -2.13194689400046.  Energy change -6.659e-05 , Iteration duration: 0.4764280319213867 Params: [-0.21056035 -0.00707203 -0.04879398]
INFO 2021-03-17 18:43:47,694 Iteration: 93. Energy -2.1327563418329443.  Energy change -8.094e-04 , Iteration duration: 0.5503509044647217 Params: [-0.19987598 -0.00582458 -0.05527063]
INFO 2021-03-17 18:43:48,068 Iteration: 94. Energy -2.1330631563410365.  Energy change -3.068e-04 , Iteration duration: 0.41660261154174805 Params: [-0.19880273 -0.0073445  -0.05446393]
INFO 2021-03-17 18:43:48,435 Iteration: 95. Energy -2.1327171939284355.  Energy change 3.460e-04 , Iteration duration: 0.3744814395904541 Params: [-0.2246756  -0.00891922 -0.0605971 ]
INFO 2021-03-17 18:43:48,970 Iteration: 96. Energy -2.1334110151078485.  Energy change -6.938e-04 , Iteration duration: 0.3665504455566406 Params: [-0.21002419 -0.00491857 -0.07287599]
INFO 2021-03-17 18:43:49,387 Iteration: 97. Energy -2.1335336610571694.  Energy change -1.226e-04 , Iteration duration: 0.5347552299499512 Params: [-0.20984547 -0.00420075 -0.08090333]
INFO 2021-03-17 18:43:49,766 Iteration: 98. Energy -2.134198804981581.  Energy change -6.651e-04 , Iteration duration: 0.4306020736694336 Params: [-0.21481738 -0.0119208  -0.06319896]
INFO 2021-03-17 18:43:50,209 Iteration: 99. Energy -2.1346896413875376.  Energy change -4.908e-04 , Iteration duration: 0.36593198776245117 Params: [-0.21729034 -0.01532034 -0.06178397]
INFO 2021-03-17 18:43:50,664 Iteration: 100. Energy -2.134747505659908.  Energy change -5.786e-05 , Iteration duration: 0.44466114044189453 Params: [-0.19261676 -0.00899117 -0.07083705]
INFO 2021-03-17 18:43:51,268 Iteration: 101. Energy -2.1349434087839416.  Energy change -1.959e-04 , Iteration duration: 0.4553370475769043 Params: [-0.18193048 -0.00901516 -0.07425037]
INFO 2021-03-17 18:43:51,727 Iteration: 102. Energy -2.135459102869916.  Energy change -5.157e-04 , Iteration duration: 0.6046502590179443 Params: [-0.20724147 -0.01167967 -0.09016118]
INFO 2021-03-17 18:43:52,218 Iteration: 103. Energy -2.1354694039191884.  Energy change -1.030e-05 , Iteration duration: 0.45868611335754395 Params: [-0.21005438 -0.01312472 -0.10206027]
